category,segment,finding,source
Age Group,Millennials,"Highest average financial loss: ₱14,093.40",GASA PH 2025
Age Group,Gen X,"Average financial loss: ₱7,677.60",GASA PH 2025
Age Group,Gen Z,18% feel unconfident recognising scams — highest across generations,GASA PH 2025
Age Group,Silent Generation,Highest scam experience rate at 76%,GASA PH 2025
Location,Suburban residents,72% scam exposure rate — highest by location,GASA PH 2025
Social Cost,All victims,88% felt very or somewhat stressed by the experience,GASA PH 2025
Social Cost,All victims,20% took on additional debt or loans as a result of being scammed,GASA PH 2025
Social Cost,All victims,27% of scam victims did not report (73% did report),GASA PH 2025
Social Cost,All victims,Only 11% recovered any money lost to scams,GASA PH 2025
Channel,All victims,74% of stolen funds sent via digital e-wallet,GASA PH 2025
Channel,All victims,85% of scam encounters happen on platforms with direct message functionality,GASA PH 2025
Fraud Type,All victims,"Social engineering, account takeover & identity theft = 76% of total fraud losses",BSP via Inquirer Feb 2025 (business.inquirer.net/572496)
Fraud Type,All victims,Investment scam most prevalent: 65% of scam victims experienced it,GASA PH 2025
